motion_thresh,med_rsq,CI_95,n,age_l,age_u
5.0,0.7495287154,0.267479875305,10.0,6.0,18.0
5.0,0.86200725653,0.12201874751,20.0,6.0,18.0
5.0,0.91305888532,0.0963001727131,30.0,6.0,18.0
5.0,0.933995782202,0.0595394551494,40.0,6.0,18.0
5.0,0.944659879796,0.080111182838,50.0,6.0,18.0
5.0,0.955411763376,0.0418793036005,60.0,6.0,18.0
5.0,0.960778651463,0.0318861339338,70.0,6.0,18.0
5.0,0.966286123434,0.037859492077,80.0,6.0,18.0
5.0,0.969868717823,0.0350623941039,90.0,6.0,18.0
5.0,0.972018887653,0.033398038711,100.0,6.0,18.0
10.0,0.735510222924,0.450659545934,10.0,6.0,18.0
10.0,0.863754828543,0.168503540867,20.0,6.0,18.0
10.0,0.90588788246,0.130810051584,30.0,6.0,18.0
10.0,0.934115169593,0.0754567928807,40.0,6.0,18.0
10.0,0.945366018341,0.0873730343807,50.0,6.0,18.0
10.0,0.956278891101,0.0804785741707,60.0,6.0,18.0
10.0,0.961602281169,0.0526646373212,70.0,6.0,18.0
10.0,0.965862837732,0.0498988654093,80.0,6.0,18.0
10.0,0.969989197174,0.0318435822543,90.0,6.0,18.0
10.0,0.972643771908,0.04609227169,100.0,6.0,18.0
15.0,0.762934566388,0.298367641404,10.0,6.0,18.0
15.0,0.87113915984,0.169293889978,20.0,6.0,18.0
15.0,0.913573302517,0.0934730266486,30.0,6.0,18.0
15.0,0.933776118077,0.081075497084,40.0,6.0,18.0
15.0,0.946507976383,0.069308184905,50.0,6.0,18.0
15.0,0.956670230184,0.0687909473952,60.0,6.0,18.0
15.0,0.961101203114,0.0581451822701,70.0,6.0,18.0
15.0,0.966561045206,0.0431028936837,80.0,6.0,18.0
15.0,0.969613093689,0.0354735017192,90.0,6.0,18.0
15.0,0.972162165978,0.0403675573223,100.0,6.0,18.0
20.0,0.738419882765,0.384217050653,10.0,6.0,18.0
20.0,0.870201412436,0.179058267232,20.0,6.0,18.0
20.0,0.914885075209,0.0976183049545,30.0,6.0,18.0
20.0,0.93393003935,0.0836957022044,40.0,6.0,18.0
20.0,0.946425674602,0.054089546449,50.0,6.0,18.0
20.0,0.956322551058,0.0780085731304,60.0,6.0,18.0
20.0,0.963196835275,0.0600245815061,70.0,6.0,18.0
20.0,0.964511457555,0.0491911322146,80.0,6.0,18.0
20.0,0.971115950882,0.0319073678863,90.0,6.0,18.0
20.0,0.974248503814,0.0342003305445,100.0,6.0,18.0
25.0,0.751111330092,0.408981187149,10.0,6.0,18.0
25.0,0.868506798617,0.180392756213,20.0,6.0,18.0
25.0,0.911515723764,0.136088928586,30.0,6.0,18.0
25.0,0.929972080193,0.0902137328657,40.0,6.0,18.0
25.0,0.947227870633,0.0873681431718,50.0,6.0,18.0
25.0,0.953596070119,0.0647773718719,60.0,6.0,18.0
25.0,0.960937495978,0.0557006165967,70.0,6.0,18.0
25.0,0.963791870321,0.0478938740393,80.0,6.0,18.0
25.0,0.969498425385,0.0521994157403,90.0,6.0,18.0
25.0,0.974026076297,0.0269450854286,100.0,6.0,18.0
30.0,0.760591171158,0.354904597279,10.0,6.0,18.0
